iteration,run1,run2 ,run3 ,run4
1,3.85E-02,4.69E-02,5.53E-02,3.56E-02
2,1.84E-02,1.07E-02,1.31E-02,1.35E-02
3,2.29E-02,8.36E-03,6.79E-03,9.10E-03
4,1.01E-02,6.79E-03,6.28E-03,8.28E-03
5,1.11E-02,7.95E-03,7.94E-03,7.66E-03
6,9.81E-03,5.78E-03,6.31E-03,7.07E-03
7,1.08E-02,6.11E-03,5.06E-03,6.30E-03
8,9.53E-03,6.23E-03,5.44E-03,6.31E-03
9,9.31E-03,6.35E-03,5.25E-03,7.23E-03
10,8.38E-03,6.80E-03,5.08E-03,7.69E-03
11,7.81E-03,6.13E-03,5.05E-03,6.96E-03
12,7.02E-03,5.97E-03,5.09E-03,5.63E-03
13,6.54E-03,6.13E-03,5.03E-03,6.15E-03
14,6.14E-03,5.76E-03,5.11E-03,5.76E-03
15,6.33E-03,6.09E-03,6.71E-03,5.73E-03
16,5.79E-03,6.43E-03,5.11E-03,6.46E-03
17,7.36E-03,6.02E-03,5.63E-03,5.84E-03
18,6.51E-03,5.77E-03,6.59E-03,6.58E-03
19,6.88E-03,5.71E-03,5.34E-03,5.60E-03
20,7.11E-03,5.82E-03,8.28E-03,6.31E-03
21,6.37E-03,6.14E-03,5.67E-03,5.59E-03
22,6.14E-03,5.92E-03,5.02E-03,6.22E-03
23,1.14E-02,7.44E-03,5.01E-03,5.67E-03
24,6.71E-03,5.71E-03,6.72E-03,8.66E-03
25,5.88E-03,5.71E-03,5.01E-03,5.59E-03
26,6.20E-03,5.71E-03,6.58E-03,5.59E-03
27,5.76E-03,5.68E-03,6.72E-03,6.11E-03
28,7.43E-03,5.84E-03,5.78E-03,6.34E-03
29,5.87E-03,6.50E-03,5.36E-03,6.18E-03
30,5.88E-03,6.17E-03,6.47E-03,8.31E-03
31,5.95E-03,6.08E-03,6.60E-03,5.59E-03
32,5.67E-03,5.61E-03,5.07E-03,5.97E-03
33,5.62E-03,5.84E-03,5.01E-03,6.58E-03
34,6.61E-03,6.00E-03,6.92E-03,5.88E-03
35,6.21E-03,5.88E-03,6.25E-03,5.56E-03
36,5.50E-03,5.68E-03,5.24E-03,6.06E-03
37,5.59E-03,5.85E-03,5.06E-03,5.81E-03
38,5.99E-03,5.69E-03,9.32E-03,5.87E-03
39,5.81E-03,5.64E-03,4.98E-03,5.57E-03
40,7.35E-03,5.67E-03,5.32E-03,6.14E-03
41,5.43E-03,6.46E-03,5.80E-03,6.22E-03
42,5.53E-03,5.50E-03,5.24E-03,5.80E-03
43,5.35E-03,6.13E-03,4.89E-03,5.71E-03
44,5.67E-03,5.44E-03,5.18E-03,5.64E-03
45,5.36E-03,5.52E-03,4.86E-03,5.55E-03
46,5.86E-03,5.45E-03,6.72E-03,6.02E-03
47,5.41E-03,5.84E-03,4.86E-03,5.67E-03
48,5.77E-03,6.95E-03,5.70E-03,5.90E-03
49,6.21E-03,5.38E-03,4.82E-03,5.81E-03
50,6.06E-03,8.07E-03,5.26E-03,5.64E-03
51,5.74E-03,6.04E-03,5.50E-03,5.41E-03
52,5.65E-03,5.47E-03,4.89E-03,5.69E-03
53,8.73E-03,5.57E-03,5.40E-03,5.85E-03
54,5.56E-03,6.18E-03,5.37E-03,5.51E-03
55,5.60E-03,6.47E-03,5.83E-03,5.44E-03
56,6.14E-03,5.42E-03,5.99E-03,6.64E-03
57,5.59E-03,5.43E-03,5.07E-03,6.79E-03
